type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
DEL	561	723	0	2617	1	0.2165	0.3559	550	hgsvcsim	vgsub	HG00514	nonrep	call	0.5
Total	1146	1515	5	6616	0.9957	0.1863	0.3139	650	hgsvcsim	vgsub	HG00514	nonrep	call	0.5
INS	786	1048	5	3743	0.9937	0.2187	0.3585	650	hgsvcsim	vgsub	HG00514	nonrep	call	0.5
DEL	360	467	0	2873	1	0.1398	0.2453	650	hgsvcsim	vgsub	HG00514	nonrep	call	0.5
Total	6058	6001	660	664	0.9018	0.9004	0.9011	0	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3500	3437	577	491	0.8585	0.875	0.8667	0	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	0	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6058	6001	651	664	0.903	0.9004	0.9017	2	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3500	3437	568	491	0.8604	0.875	0.8676	2	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	2	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6058	6001	651	664	0.903	0.9004	0.9017	3	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3500	3437	568	491	0.8604	0.875	0.8676	3	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	3	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6058	6001	650	664	0.9031	0.9004	0.9017	4	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3500	3437	567	491	0.8606	0.875	0.8677	4	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	4	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6058	6001	650	664	0.9031	0.9004	0.9017	5	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3500	3437	567	491	0.8606	0.875	0.8677	5	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	5	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6058	6001	648	664	0.9034	0.9004	0.9019	7	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3500	3437	565	491	0.861	0.875	0.8679	7	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	7	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6056	5999	644	666	0.9039	0.9001	0.902	10	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3498	3435	561	493	0.8618	0.8745	0.8681	10	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	10	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6055	5998	642	667	0.9041	0.8999	0.902	12	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3497	3434	559	494	0.8622	0.8742	0.8682	12	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	12	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6054	5997	642	668	0.9041	0.8998	0.9019	14	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3496	3433	559	495	0.8621	0.874	0.868	14	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	14	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6051	5994	631	671	0.9056	0.8993	0.9024	21	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3493	3430	548	498	0.8644	0.8732	0.8688	21	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	21	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6050	5994	624	671	0.9065	0.8993	0.9029	27	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3492	3430	541	498	0.8659	0.8732	0.8695	27	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	83	173	0.9686	0.9368	0.9524	27	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6043	5988	612	677	0.908	0.8984	0.9032	35	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3485	3424	532	504	0.8676	0.8717	0.8696	35	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2558	2564	80	173	0.9697	0.9368	0.953	35	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6033	5978	595	687	0.9102	0.8969	0.9035	45	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3476	3415	522	513	0.8694	0.8694	0.8694	45	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2557	2563	73	174	0.9722	0.9364	0.954	45	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6023	5969	586	696	0.9113	0.8956	0.9034	50	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3468	3408	513	520	0.8711	0.8676	0.8693	50	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2555	2561	73	176	0.9722	0.9357	0.9536	50	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	6011	5955	577	710	0.9124	0.8935	0.9029	60	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3460	3398	504	530	0.8729	0.8651	0.869	60	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2551	2557	73	180	0.9722	0.9342	0.9528	60	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	5980	5926	551	739	0.9156	0.8891	0.9022	75	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3432	3372	484	556	0.8764	0.8585	0.8674	75	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2548	2554	67	183	0.9744	0.9331	0.9533	75	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	5954	5903	532	762	0.918	0.8857	0.9016	90	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3414	3357	468	571	0.8794	0.8546	0.8668	90	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2540	2546	64	191	0.9754	0.9302	0.9523	90	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	5937	5885	512	780	0.9206	0.883	0.9014	99	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3401	3343	449	585	0.8834	0.8511	0.8669	99	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2536	2542	63	195	0.9758	0.9288	0.9517	99	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	5896	5845	488	820	0.9236	0.877	0.8997	110	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3378	3321	426	607	0.888	0.8455	0.8662	110	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2518	2524	62	213	0.976	0.9222	0.9483	110	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	5803	5754	448	911	0.9283	0.8633	0.8946	133	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3316	3261	390	667	0.8948	0.8302	0.8613	133	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2487	2493	58	244	0.9772	0.9109	0.9429	133	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	5542	5497	400	1168	0.9327	0.8248	0.8754	167	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3148	3097	349	831	0.9002	0.7884	0.8406	167	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2394	2400	51	337	0.9791	0.8769	0.9252	167	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	5422	5377	375	1288	0.9353	0.8068	0.8663	180	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	3079	3031	326	897	0.9043	0.7716	0.8327	180	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	2343	2346	49	391	0.9795	0.8571	0.9142	180	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	4493	4466	283	2199	0.9407	0.6701	0.7827	250	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	2526	2496	248	1432	0.9106	0.6354	0.7485	250	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	1967	1970	35	767	0.9825	0.7198	0.8309	250	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	2924	2918	180	3747	0.942	0.4378	0.5978	350	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	1645	1637	162	2291	0.9103	0.4168	0.5718	350	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	1279	1281	18	1456	0.9861	0.468	0.6347	350	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	1956	1952	112	4713	0.9458	0.2929	0.4473	450	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	1173	1169	107	2759	0.9164	0.2976	0.4493	450	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	783	783	5	1954	0.9937	0.2861	0.4443	450	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	1497	1494	57	5171	0.9633	0.2242	0.3637	550	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	938	935	56	2993	0.9437	0.238	0.3801	550	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	559	559	1	2178	0.9982	0.2042	0.339	550	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	1087	1086	36	5579	0.9679	0.1629	0.2789	650	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
INS	728	727	35	3201	0.9541	0.1851	0.31	650	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
DEL	359	359	1	2378	0.9972	0.1312	0.2319	650	hgsvcsim	vgsub	HG00514	nonrep	geno	0.5
Total	15233	14583	15573	9423	0.4945	0.6075	0.5452	0	svpop	paragraph	HG00514	all	call	0.5
INS	9285	8947	11383	5087	0.4492	0.6375	0.527	0	svpop	paragraph	HG00514	all	call	0.5
DEL	5933	5621	4185	4286	0.5864	0.5674	0.5767	0	svpop	paragraph	HG00514	all	call	0.5
INV	15	15	5	50	0.75	0.2308	0.353	0	svpop	paragraph	HG00514	all	call	0.5
Total	15231	14580	15535	9426	0.4951	0.6073	0.5455	2	svpop	paragraph	HG00514	all	call	0.5
INS	9284	8945	11355	5089	0.4498	0.6374	0.5274	2	svpop	paragraph	HG00514	all	call	0.5
DEL	5932	5620	4175	4287	0.5869	0.5673	0.5769	2	svpop	paragraph	HG00514	all	call	0.5
INV	15	15	5	50	0.75	0.2308	0.353	2	svpop	paragraph	HG00514	all	call	0.5
Total	15032	14440	14991	9566	0.5007	0.6015	0.5465	3	svpop	paragraph	HG00514	all	call	0.5
INS	9191	8864	10988	5170	0.4555	0.6316	0.5293	3	svpop	paragraph	HG00514	all	call	0.5
DEL	5826	5561	3998	4346	0.593	0.5613	0.5767	3	svpop	paragraph	HG00514	all	call	0.5
INV	15	15	5	50	0.75	0.2308	0.353	3	svpop	paragraph	HG00514	all	call	0.5
Total	14521	14019	13868	9987	0.5115	0.584	0.5454	4	svpop	paragraph	HG00514	all	call	0.5
INS	8918	8621	10223	5413	0.4659	0.6143	0.5299	4	svpop	paragraph	HG00514	all	call	0.5
DEL	5589	5384	3641	4523	0.6055	0.5435	0.5728	4	svpop	paragraph	HG00514	all	call	0.5
INV	14	14	4	51	0.7778	0.2154	0.3374	4	svpop	paragraph	HG00514	all	call	0.5
Total	13528	13211	11549	10795	0.5395	0.5503	0.5448	5	svpop	paragraph	HG00514	all	call	0.5
INS	8329	8147	8573	5887	0.4928	0.5805	0.5331	5	svpop	paragraph	HG00514	all	call	0.5
DEL	5188	5053	2975	4854	0.6356	0.51	0.5659	5	svpop	paragraph	HG00514	all	call	0.5
INV	11	11	1	54	0.9167	0.1692	0.2857	5	svpop	paragraph	HG00514	all	call	0.5
Total	12585	12370	9633	11636	0.5664	0.5153	0.5396	7	svpop	paragraph	HG00514	all	call	0.5
INS	7832	7699	7223	6335	0.5202	0.5486	0.534	7	svpop	paragraph	HG00514	all	call	0.5
DEL	4745	4663	2409	5244	0.6633	0.4707	0.5506	7	svpop	paragraph	HG00514	all	call	0.5
INV	8	8	1	57	0.8889	0.1231	0.2163	7	svpop	paragraph	HG00514	all	call	0.5
Total	11528	11406	7915	12600	0.5929	0.4751	0.5275	10	svpop	paragraph	HG00514	all	call	0.5
INS	7247	7164	6000	6870	0.5471	0.5105	0.5282	10	svpop	paragraph	HG00514	all	call	0.5
DEL	4276	4237	1915	5670	0.6907	0.4277	0.5283	10	svpop	paragraph	HG00514	all	call	0.5
INV	5	5	0	60	1	0.0769	0.1428	10	svpop	paragraph	HG00514	all	call	0.5
Total	11072	10998	7385	13008	0.5999	0.4581	0.5195	12	svpop	paragraph	HG00514	all	call	0.5
INS	6984	6927	5632	7107	0.5536	0.4936	0.5219	12	svpop	paragraph	HG00514	all	call	0.5
DEL	4084	4067	1753	5840	0.6997	0.4105	0.5174	12	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	12	svpop	paragraph	HG00514	all	call	0.5
Total	11031	10949	7335	13057	0.6006	0.4561	0.5185	14	svpop	paragraph	HG00514	all	call	0.5
INS	6957	6900	5607	7134	0.5537	0.4917	0.5209	14	svpop	paragraph	HG00514	all	call	0.5
DEL	4070	4045	1728	5862	0.702	0.4083	0.5163	14	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	14	svpop	paragraph	HG00514	all	call	0.5
Total	10795	10732	7044	13274	0.6051	0.4471	0.5142	21	svpop	paragraph	HG00514	all	call	0.5
INS	6813	6769	5418	7265	0.557	0.4823	0.517	21	svpop	paragraph	HG00514	all	call	0.5
DEL	3978	3959	1626	5948	0.7099	0.3996	0.5114	21	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	21	svpop	paragraph	HG00514	all	call	0.5
Total	10773	10710	7020	13296	0.6055	0.4461	0.5137	27	svpop	paragraph	HG00514	all	call	0.5
INS	6801	6756	5399	7278	0.5575	0.4814	0.5167	27	svpop	paragraph	HG00514	all	call	0.5
DEL	3968	3950	1621	5957	0.71	0.3987	0.5106	27	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	27	svpop	paragraph	HG00514	all	call	0.5
Total	10772	10709	7017	13297	0.6055	0.4461	0.5137	35	svpop	paragraph	HG00514	all	call	0.5
INS	6800	6755	5396	7279	0.5576	0.4813	0.5166	35	svpop	paragraph	HG00514	all	call	0.5
DEL	3968	3950	1621	5957	0.71	0.3987	0.5106	35	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	35	svpop	paragraph	HG00514	all	call	0.5
Total	10772	10709	7017	13297	0.6055	0.4461	0.5137	45	svpop	paragraph	HG00514	all	call	0.5
INS	6800	6755	5396	7279	0.5576	0.4813	0.5166	45	svpop	paragraph	HG00514	all	call	0.5
DEL	3968	3950	1621	5957	0.71	0.3987	0.5106	45	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	45	svpop	paragraph	HG00514	all	call	0.5
Total	10772	10709	7017	13297	0.6055	0.4461	0.5137	50	svpop	paragraph	HG00514	all	call	0.5
INS	6800	6755	5396	7279	0.5576	0.4813	0.5166	50	svpop	paragraph	HG00514	all	call	0.5
DEL	3968	3950	1621	5957	0.71	0.3987	0.5106	50	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	50	svpop	paragraph	HG00514	all	call	0.5
Total	10772	10709	7017	13297	0.6055	0.4461	0.5137	60	svpop	paragraph	HG00514	all	call	0.5
INS	6800	6755	5396	7279	0.5576	0.4813	0.5166	60	svpop	paragraph	HG00514	all	call	0.5
DEL	3968	3950	1621	5957	0.71	0.3987	0.5106	60	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	60	svpop	paragraph	HG00514	all	call	0.5
Total	10772	10709	7017	13297	0.6055	0.4461	0.5137	75	svpop	paragraph	HG00514	all	call	0.5
INS	6800	6755	5396	7279	0.5576	0.4813	0.5166	75	svpop	paragraph	HG00514	all	call	0.5
DEL	3968	3950	1621	5957	0.71	0.3987	0.5106	75	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	75	svpop	paragraph	HG00514	all	call	0.5
Total	10772	10709	7017	13297	0.6055	0.4461	0.5137	90	svpop	paragraph	HG00514	all	call	0.5
INS	6800	6755	5396	7279	0.5576	0.4813	0.5166	90	svpop	paragraph	HG00514	all	call	0.5
DEL	3968	3950	1621	5957	0.71	0.3987	0.5106	90	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	90	svpop	paragraph	HG00514	all	call	0.5
Total	10772	10709	7017	13297	0.6055	0.4461	0.5137	99	svpop	paragraph	HG00514	all	call	0.5
INS	6800	6755	5396	7279	0.5576	0.4813	0.5166	99	svpop	paragraph	HG00514	all	call	0.5
DEL	3968	3950	1621	5957	0.71	0.3987	0.5106	99	svpop	paragraph	HG00514	all	call	0.5
INV	4	4	0	61	1	0.0615	0.1159	99	svpop	paragraph	HG00514	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	110	svpop	paragraph	HG00514	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	110	svpop	paragraph	HG00514	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	110	svpop	paragraph	HG00514	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	110	svpop	paragraph	HG00514	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	133	svpop	paragraph	HG00514	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	133	svpop	paragraph	HG00514	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	133	svpop	paragraph	HG00514	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	133	svpop	paragraph	HG00514	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	167	svpop	paragraph	HG00514	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	167	svpop	paragraph	HG00514	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	167	svpop	paragraph	HG00514	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	167	svpop	paragraph	HG00514	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	180	svpop	paragraph	HG00514	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	180	svpop	paragraph	HG00514	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	180	svpop	paragraph	HG00514	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	180	svpop	paragraph	HG00514	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	250	svpop	paragraph	HG00514	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	250	svpop	paragraph	HG00514	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	250	svpop	paragraph	HG00514	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	250	svpop	paragraph	HG00514	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	350	svpop	paragraph	HG00514	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	350	svpop	paragraph	HG00514	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	350	svpop	paragraph	HG00514	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	350	svpop	paragraph	HG00514	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	450	svpop	paragraph	HG00514	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	450	svpop	paragraph	HG00514	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	450	svpop	paragraph	HG00514	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	450	svpop	paragraph	HG00514	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	550	svpop	paragraph	HG00514	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	550	svpop	paragraph	HG00514	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	550	svpop	paragraph	HG00514	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	550	svpop	paragraph	HG00514	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	650	svpop	paragraph	HG00514	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	650	svpop	paragraph	HG00514	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	650	svpop	paragraph	HG00514	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	650	svpop	paragraph	HG00514	all	call	0.5
Total	4698	4678	1325	1018	0.78	0.8213	0.8001	0	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2618	2601	1016	582	0.7204	0.8172	0.7658	0	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	2067	2064	307	409	0.8707	0.8346	0.8523	0	svpop	paragraph	HG00514	nonrep	call	0.5
INV	13	13	2	27	0.8667	0.325	0.4727	0	svpop	paragraph	HG00514	nonrep	call	0.5
Total	4698	4678	1324	1018	0.7801	0.8213	0.8002	2	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2618	2601	1015	582	0.7206	0.8172	0.7659	2	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	2067	2064	307	409	0.8707	0.8346	0.8523	2	svpop	paragraph	HG00514	nonrep	call	0.5
INV	13	13	2	27	0.8667	0.325	0.4727	2	svpop	paragraph	HG00514	nonrep	call	0.5
Total	4694	4674	1312	1022	0.7816	0.8206	0.8006	3	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2616	2599	1005	584	0.7225	0.8165	0.7666	3	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	2065	2062	305	411	0.8713	0.8338	0.8521	3	svpop	paragraph	HG00514	nonrep	call	0.5
INV	13	13	2	27	0.8667	0.325	0.4727	3	svpop	paragraph	HG00514	nonrep	call	0.5
Total	4608	4595	1281	1101	0.7825	0.8067	0.7944	4	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2574	2559	981	624	0.7241	0.804	0.762	4	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	2022	2024	298	449	0.8716	0.8184	0.8442	4	svpop	paragraph	HG00514	nonrep	call	0.5
INV	12	12	2	28	0.8571	0.3	0.4444	4	svpop	paragraph	HG00514	nonrep	call	0.5
Total	4456	4467	1191	1229	0.7891	0.7842	0.7866	5	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2505	2507	906	676	0.7344	0.7876	0.7601	5	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1942	1951	284	522	0.8724	0.7889	0.8286	5	svpop	paragraph	HG00514	nonrep	call	0.5
INV	9	9	1	31	0.9	0.225	0.36	5	svpop	paragraph	HG00514	nonrep	call	0.5
Total	4182	4200	1102	1496	0.7914	0.7374	0.7634	7	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2389	2396	836	787	0.7408	0.7527	0.7467	7	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1785	1796	265	677	0.8707	0.7262	0.7919	7	svpop	paragraph	HG00514	nonrep	call	0.5
INV	8	8	1	32	0.8889	0.2	0.3265	7	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3957	3978	1003	1718	0.7978	0.6984	0.7448	10	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2285	2295	760	888	0.7504	0.721	0.7354	10	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1667	1678	243	795	0.8728	0.6785	0.7635	10	svpop	paragraph	HG00514	nonrep	call	0.5
INV	5	5	0	35	1	0.125	0.2222	10	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3831	3851	965	1845	0.7988	0.6761	0.7323	12	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2205	2214	731	969	0.751	0.6956	0.7222	12	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1622	1633	234	840	0.8739	0.6603	0.7522	12	svpop	paragraph	HG00514	nonrep	call	0.5
INV	4	4	0	36	1	0.1	0.1818	12	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3824	3844	965	1852	0.7985	0.6749	0.7315	14	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2199	2208	731	975	0.7505	0.6937	0.721	14	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1621	1632	234	841	0.8739	0.6599	0.752	14	svpop	paragraph	HG00514	nonrep	call	0.5
INV	4	4	0	36	1	0.1	0.1818	14	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3786	3807	957	1889	0.7982	0.6684	0.7276	21	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2174	2184	726	999	0.7497	0.6861	0.7165	21	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1608	1619	231	854	0.8744	0.6547	0.7488	21	svpop	paragraph	HG00514	nonrep	call	0.5
INV	4	4	0	36	1	0.1	0.1818	21	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3785	3806	957	1890	0.7982	0.6682	0.7274	27	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2173	2183	726	1000	0.7496	0.6858	0.7163	27	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1608	1619	231	854	0.8744	0.6547	0.7488	27	svpop	paragraph	HG00514	nonrep	call	0.5
INV	4	4	0	36	1	0.1	0.1818	27	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3785	3806	957	1890	0.7982	0.6682	0.7274	35	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2173	2183	726	1000	0.7496	0.6858	0.7163	35	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1608	1619	231	854	0.8744	0.6547	0.7488	35	svpop	paragraph	HG00514	nonrep	call	0.5
INV	4	4	0	36	1	0.1	0.1818	35	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3785	3806	957	1890	0.7982	0.6682	0.7274	45	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2173	2183	726	1000	0.7496	0.6858	0.7163	45	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1608	1619	231	854	0.8744	0.6547	0.7488	45	svpop	paragraph	HG00514	nonrep	call	0.5
INV	4	4	0	36	1	0.1	0.1818	45	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3785	3806	957	1890	0.7982	0.6682	0.7274	50	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2173	2183	726	1000	0.7496	0.6858	0.7163	50	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1608	1619	231	854	0.8744	0.6547	0.7488	50	svpop	paragraph	HG00514	nonrep	call	0.5
INV	4	4	0	36	1	0.1	0.1818	50	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3785	3806	957	1890	0.7982	0.6682	0.7274	60	svpop	paragraph	HG00514	nonrep	call	0.5
INS	2173	2183	726	1000	0.7496	0.6858	0.7163	60	svpop	paragraph	HG00514	nonrep	call	0.5
DEL	1608	1619	231	854	0.8744	0.6547	0.7488	60	svpop	paragraph	HG00514	nonrep	call	0.5
INV	4	4	0	36	1	0.1	0.1818	60	svpop	paragraph	HG00514	nonrep	call	0.5
Total	3785	3806	957	1890	0.7982	0.6682	0.7274	75	svpop	paragraph	HG00514	nonrep	call	0.5
