type	size	FN	FP	TP	TP.baseline	precision	recall	F1	exp	method	sample	region	eval	min.cov
INV	(2.5e+03,5e+03]	3	0	0	0	NA	0	NA	svpop	vg	HG00514	nonrep	call	0.5
INV	(200,300]	1	0	3	3	1	0.75	0.8571	svpop	vg	HG00514	nonrep	call	0.5
INV	(300,400]	2	1	1	1	0.5	0.3333	0.4	svpop	vg	HG00514	nonrep	call	0.5
INV	(400,600]	2	1	2	2	0.6667	0.5	0.5714	svpop	vg	HG00514	nonrep	call	0.5
INV	(5e+03,Inf]	8	0	3	3	1	0.2727	0.4285	svpop	vg	HG00514	nonrep	call	0.5
INV	(600,800]	2	0	0	0	NA	0	NA	svpop	vg	HG00514	nonrep	call	0.5
INV	(800,1e+03]	1	1	1	1	0.5	0.5	0.5	svpop	vg	HG00514	nonrep	call	0.5
INV	[50,100]	1	2	2	2	0.5	0.6667	0.5714	svpop	vg	HG00514	nonrep	call	0.5
DEL	(100,200]	1230	352	535	530	0.6032	0.3011	0.4017	svpop	vg	HG00514	rep	call	0.5
DEL	(1e+03,2.5e+03]	129	19	51	51	0.7286	0.2833	0.408	svpop	vg	HG00514	rep	call	0.5
DEL	(2.5e+03,5e+03]	39	3	36	36	0.9231	0.48	0.6316	svpop	vg	HG00514	rep	call	0.5
DEL	(200,300]	398	84	150	151	0.641	0.275	0.3849	svpop	vg	HG00514	rep	call	0.5
DEL	(300,400]	278	62	125	126	0.6684	0.3119	0.4253	svpop	vg	HG00514	rep	call	0.5
DEL	(400,600]	139	31	60	59	0.6593	0.298	0.4105	svpop	vg	HG00514	rep	call	0.5
DEL	(5e+03,Inf]	21	7	12	12	0.6316	0.3636	0.4615	svpop	vg	HG00514	rep	call	0.5
DEL	(600,800]	166	14	18	18	0.5625	0.0978	0.1666	svpop	vg	HG00514	rep	call	0.5
DEL	(800,1e+03]	45	5	19	16	0.7917	0.2623	0.394	svpop	vg	HG00514	rep	call	0.5
DEL	[50,100]	2203	1345	1756	1685	0.5663	0.4334	0.491	svpop	vg	HG00514	rep	call	0.5
INS	(100,200]	1431	1290	1495	1419	0.5368	0.4979	0.5166	svpop	vg	HG00514	rep	call	0.5
INS	(1e+03,2.5e+03]	221	71	232	231	0.7657	0.5111	0.613	svpop	vg	HG00514	rep	call	0.5
INS	(2.5e+03,5e+03]	80	17	50	51	0.7463	0.3893	0.5117	svpop	vg	HG00514	rep	call	0.5
INS	(200,300]	598	436	586	560	0.5734	0.4836	0.5247	svpop	vg	HG00514	rep	call	0.5
INS	(300,400]	386	200	380	371	0.6552	0.4901	0.5608	svpop	vg	HG00514	rep	call	0.5
INS	(400,600]	343	144	359	355	0.7137	0.5086	0.5939	svpop	vg	HG00514	rep	call	0.5
INS	(5e+03,Inf]	33	11	20	19	0.6452	0.3654	0.4666	svpop	vg	HG00514	rep	call	0.5
INS	(600,800]	189	63	206	207	0.7658	0.5227	0.6213	svpop	vg	HG00514	rep	call	0.5
INS	(800,1e+03]	110	35	113	111	0.7635	0.5023	0.606	svpop	vg	HG00514	rep	call	0.5
INS	[50,100]	2375	2883	1862	1767	0.3924	0.4266	0.4088	svpop	vg	HG00514	rep	call	0.5
INV	(100,200]	0	0	1	1	1	1	1	svpop	vg	HG00514	rep	call	0.5
INV	(1e+03,2.5e+03]	1	0	0	0	NA	0	NA	svpop	vg	HG00514	rep	call	0.5
INV	(2.5e+03,5e+03]	1	0	0	0	NA	0	NA	svpop	vg	HG00514	rep	call	0.5
INV	(200,300]	1	0	0	0	NA	0	NA	svpop	vg	HG00514	rep	call	0.5
INV	(300,400]	0	0	0	0	NA	NA	NA	svpop	vg	HG00514	rep	call	0.5
INV	(400,600]	0	0	0	0	NA	NA	NA	svpop	vg	HG00514	rep	call	0.5
INV	(5e+03,Inf]	4	0	0	0	NA	0	NA	svpop	vg	HG00514	rep	call	0.5
INV	(600,800]	2	0	0	0	NA	0	NA	svpop	vg	HG00514	rep	call	0.5
INV	(800,1e+03]	0	0	0	0	NA	NA	NA	svpop	vg	HG00514	rep	call	0.5
INV	[50,100]	0	0	0	0	NA	NA	NA	svpop	vg	HG00514	rep	call	0.5
DEL	(100,200]	1263	397	664	681	0.6258	0.3503	0.4492	svpop	vg	HG00733	all	call	0.5
DEL	(1e+03,2.5e+03]	162	46	235	234	0.8363	0.5909	0.6925	svpop	vg	HG00733	all	call	0.5
DEL	(2.5e+03,5e+03]	96	8	145	145	0.9477	0.6017	0.7361	svpop	vg	HG00733	all	call	0.5
DEL	(200,300]	416	112	299	300	0.7275	0.419	0.5317	svpop	vg	HG00733	all	call	0.5
DEL	(300,400]	235	136	999	998	0.8802	0.8094	0.8433	svpop	vg	HG00733	all	call	0.5
DEL	(400,600]	174	48	121	116	0.716	0.4	0.5133	svpop	vg	HG00733	all	call	0.5
DEL	(5e+03,Inf]	55	17	145	145	0.8951	0.725	0.8011	svpop	vg	HG00733	all	call	0.5
DEL	(600,800]	128	16	80	81	0.8333	0.3876	0.5291	svpop	vg	HG00733	all	call	0.5
DEL	(800,1e+03]	70	11	66	68	0.8571	0.4928	0.6258	svpop	vg	HG00733	all	call	0.5
DEL	[50,100]	2215	1553	1705	1716	0.5233	0.4365	0.476	svpop	vg	HG00733	all	call	0.5
INS	(100,200]	1245	1357	1686	1672	0.5541	0.5732	0.5635	svpop	vg	HG00733	all	call	0.5
INS	(1e+03,2.5e+03]	228	118	484	483	0.804	0.6793	0.7364	svpop	vg	HG00733	all	call	0.5
INS	(2.5e+03,5e+03]	106	34	199	198	0.8541	0.6513	0.739	svpop	vg	HG00733	all	call	0.5
INS	(200,300]	549	552	788	759	0.5881	0.5803	0.5842	svpop	vg	HG00733	all	call	0.5
INS	(300,400]	326	586	1067	1050	0.6455	0.7631	0.6994	svpop	vg	HG00733	all	call	0.5
INS	(400,600]	306	207	557	540	0.7291	0.6383	0.6807	svpop	vg	HG00733	all	call	0.5
INS	(5e+03,Inf]	89	21	106	106	0.8346	0.5436	0.6584	svpop	vg	HG00733	all	call	0.5
INS	(600,800]	174	85	367	365	0.8119	0.6772	0.7385	svpop	vg	HG00733	all	call	0.5
INS	(800,1e+03]	113	44	215	213	0.8301	0.6534	0.7312	svpop	vg	HG00733	all	call	0.5
INS	[50,100]	2172	3104	2131	2135	0.4071	0.4957	0.4471	svpop	vg	HG00733	all	call	0.5
INV	(100,200]	4	1	2	2	0.6667	0.3333	0.4444	svpop	vg	HG00733	all	call	0.5
INV	(1e+03,2.5e+03]	9	0	1	1	1	0.1	0.1818	svpop	vg	HG00733	all	call	0.5
INV	(2.5e+03,5e+03]	7	0	0	0	NA	0	NA	svpop	vg	HG00733	all	call	0.5
INV	(200,300]	5	1	1	1	0.5	0.1667	0.25	svpop	vg	HG00733	all	call	0.5
INV	(300,400]	4	0	0	0	NA	0	NA	svpop	vg	HG00733	all	call	0.5
INV	(400,600]	1	0	3	3	1	0.75	0.8571	svpop	vg	HG00733	all	call	0.5
INV	(5e+03,Inf]	23	0	0	0	NA	0	NA	svpop	vg	HG00733	all	call	0.5
INV	(600,800]	2	0	0	0	NA	0	NA	svpop	vg	HG00733	all	call	0.5
INV	(800,1e+03]	3	0	2	2	1	0.4	0.5714	svpop	vg	HG00733	all	call	0.5
INV	[50,100]	1	2	2	2	0.5	0.6667	0.5714	svpop	vg	HG00733	all	call	0.5
DEL	(100,200]	45	54	174	193	0.7632	0.8109	0.7863	svpop	vg	HG00733	nonrep	call	0.5
DEL	(1e+03,2.5e+03]	44	29	168	168	0.8528	0.7925	0.8215	svpop	vg	HG00733	nonrep	call	0.5
DEL	(2.5e+03,5e+03]	36	4	93	93	0.9588	0.7209	0.823	svpop	vg	HG00733	nonrep	call	0.5
DEL	(200,300]	18	27	166	168	0.8601	0.9032	0.8811	svpop	vg	HG00733	nonrep	call	0.5
DEL	(300,400]	17	93	853	852	0.9017	0.9804	0.9394	svpop	vg	HG00733	nonrep	call	0.5
DEL	(400,600]	14	17	84	85	0.8317	0.8586	0.8449	svpop	vg	HG00733	nonrep	call	0.5
DEL	(5e+03,Inf]	24	8	114	114	0.9344	0.8261	0.8769	svpop	vg	HG00733	nonrep	call	0.5
DEL	(600,800]	8	8	49	49	0.8596	0.8596	0.8596	svpop	vg	HG00733	nonrep	call	0.5
DEL	(800,1e+03]	15	5	58	60	0.9206	0.8	0.8561	svpop	vg	HG00733	nonrep	call	0.5
DEL	[50,100]	88	108	227	261	0.6776	0.7479	0.711	svpop	vg	HG00733	nonrep	call	0.5
INS	(100,200]	108	177	377	390	0.6805	0.7831	0.7282	svpop	vg	HG00733	nonrep	call	0.5
INS	(1e+03,2.5e+03]	42	29	254	255	0.8975	0.8586	0.8776	svpop	vg	HG00733	nonrep	call	0.5
INS	(2.5e+03,5e+03]	43	5	152	151	0.9682	0.7784	0.863	svpop	vg	HG00733	nonrep	call	0.5
INS	(200,300]	75	86	193	191	0.6918	0.718	0.7047	svpop	vg	HG00733	nonrep	call	0.5
INS	(300,400]	54	312	643	639	0.6733	0.9221	0.7783	svpop	vg	HG00733	nonrep	call	0.5
INS	(400,600]	28	23	139	138	0.858	0.8313	0.8444	svpop	vg	HG00733	nonrep	call	0.5
INS	(5e+03,Inf]	45	9	86	86	0.9053	0.6565	0.7611	svpop	vg	HG00733	nonrep	call	0.5
INS	(600,800]	14	10	128	126	0.9275	0.9	0.9135	svpop	vg	HG00733	nonrep	call	0.5
INS	(800,1e+03]	3	5	95	95	0.95	0.9694	0.9596	svpop	vg	HG00733	nonrep	call	0.5
INS	[50,100]	118	446	499	523	0.528	0.8159	0.6411	svpop	vg	HG00733	nonrep	call	0.5
INV	(100,200]	4	1	2	2	0.6667	0.3333	0.4444	svpop	vg	HG00733	nonrep	call	0.5
INV	(1e+03,2.5e+03]	5	0	1	1	1	0.1667	0.2858	svpop	vg	HG00733	nonrep	call	0.5
INV	(2.5e+03,5e+03]	3	0	0	0	NA	0	NA	svpop	vg	HG00733	nonrep	call	0.5
INV	(200,300]	3	1	1	1	0.5	0.25	0.3333	svpop	vg	HG00733	nonrep	call	0.5
INV	(300,400]	4	0	0	0	NA	0	NA	svpop	vg	HG00733	nonrep	call	0.5
INV	(400,600]	1	0	3	3	1	0.75	0.8571	svpop	vg	HG00733	nonrep	call	0.5
INV	(5e+03,Inf]	9	0	0	0	NA	0	NA	svpop	vg	HG00733	nonrep	call	0.5
INV	(600,800]	0	0	0	0	NA	NA	NA	svpop	vg	HG00733	nonrep	call	0.5
INV	(800,1e+03]	3	0	2	2	1	0.4	0.5714	svpop	vg	HG00733	nonrep	call	0.5
INV	[50,100]	1	2	2	2	0.5	0.6667	0.5714	svpop	vg	HG00733	nonrep	call	0.5
DEL	(100,200]	1438	419	870	880	0.6749	0.3796	0.4859	svpop	vg	NA19240	all	call	0.5
DEL	(1e+03,2.5e+03]	164	46	324	325	0.8757	0.6646	0.7557	svpop	vg	NA19240	all	call	0.5
DEL	(2.5e+03,5e+03]	86	10	195	195	0.9512	0.694	0.8025	svpop	vg	NA19240	all	call	0.5
DEL	(200,300]	486	100	333	338	0.7691	0.4102	0.535	svpop	vg	NA19240	all	call	0.5
DEL	(300,400]	294	152	1119	1114	0.8804	0.7912	0.8334	svpop	vg	NA19240	all	call	0.5
DEL	(400,600]	181	52	160	158	0.7547	0.4661	0.5763	svpop	vg	NA19240	all	call	0.5
DEL	(5e+03,Inf]	59	19	161	161	0.8944	0.7318	0.805	svpop	vg	NA19240	all	call	0.5
DEL	(600,800]	124	22	104	102	0.8254	0.4513	0.5835	svpop	vg	NA19240	all	call	0.5
DEL	(800,1e+03]	67	11	79	79	0.8778	0.5411	0.6695	svpop	vg	NA19240	all	call	0.5
DEL	[50,100]	2475	1598	2030	2040	0.5595	0.4518	0.4999	svpop	vg	NA19240	all	call	0.5
INS	(100,200]	1618	1379	1763	1739	0.5611	0.518	0.5387	svpop	vg	NA19240	all	call	0.5
INS	(1e+03,2.5e+03]	298	102	548	545	0.8431	0.6465	0.7318	svpop	vg	NA19240	all	call	0.5
INS	(2.5e+03,5e+03]	130	37	210	210	0.8502	0.6176	0.7155	svpop	vg	NA19240	all	call	0.5
INS	(200,300]	717	597	808	783	0.5751	0.522	0.5473	svpop	vg	NA19240	all	call	0.5
INS	(300,400]	389	638	1165	1148	0.6461	0.7469	0.6929	svpop	vg	NA19240	all	call	0.5
INS	(400,600]	353	203	585	571	0.7424	0.618	0.6745	svpop	vg	NA19240	all	call	0.5
INS	(5e+03,Inf]	131	23	119	118	0.838	0.4739	0.6054	svpop	vg	NA19240	all	call	0.5
INS	(600,800]	200	73	363	362	0.8326	0.6441	0.7263	svpop	vg	NA19240	all	call	0.5
INS	(800,1e+03]	113	54	232	230	0.8112	0.6706	0.7342	svpop	vg	NA19240	all	call	0.5
INS	[50,100]	2654	3091	2431	2439	0.4402	0.4789	0.4587	svpop	vg	NA19240	all	call	0.5
INV	(100,200]	1	2	3	3	0.6	0.75	0.6667	svpop	vg	NA19240	all	call	0.5
INV	(1e+03,2.5e+03]	10	0	3	3	1	0.2308	0.375	svpop	vg	NA19240	all	call	0.5
INV	(2.5e+03,5e+03]	5	0	1	1	1	0.1667	0.2858	svpop	vg	NA19240	all	call	0.5
INV	(200,300]	2	0	3	3	1	0.6	0.75	svpop	vg	NA19240	all	call	0.5
INV	(300,400]	3	0	0	0	NA	0	NA	svpop	vg	NA19240	all	call	0.5
INV	(400,600]	5	1	1	1	0.5	0.1667	0.25	svpop	vg	NA19240	all	call	0.5
INV	(5e+03,Inf]	20	0	0	0	NA	0	NA	svpop	vg	NA19240	all	call	0.5
INV	(600,800]	3	0	0	0	NA	0	NA	svpop	vg	NA19240	all	call	0.5
INV	(800,1e+03]	1	1	1	1	0.5	0.5	0.5	svpop	vg	NA19240	all	call	0.5
INV	[50,100]	1	2	2	2	0.5	0.6667	0.5714	svpop	vg	NA19240	all	call	0.5
DEL	(100,200]	56	55	218	244	0.7985	0.8133	0.8058	svpop	vg	NA19240	nonrep	call	0.5
DEL	(1e+03,2.5e+03]	39	27	229	230	0.8945	0.855	0.8743	svpop	vg	NA19240	nonrep	call	0.5
DEL	(2.5e+03,5e+03]	33	4	130	130	0.9701	0.7975	0.8754	svpop	vg	NA19240	nonrep	call	0.5
DEL	(200,300]	34	22	181	183	0.8916	0.8433	0.8668	svpop	vg	NA19240	nonrep	call	0.5
DEL	(300,400]	23	114	975	973	0.8953	0.9769	0.9343	svpop	vg	NA19240	nonrep	call	0.5
DEL	(400,600]	11	15	105	105	0.875	0.9052	0.8898	svpop	vg	NA19240	nonrep	call	0.5
DEL	(5e+03,Inf]	25	9	124	124	0.9323	0.8322	0.8794	svpop	vg	NA19240	nonrep	call	0.5
DEL	(600,800]	8	10	74	74	0.881	0.9024	0.8916	svpop	vg	NA19240	nonrep	call	0.5
DEL	(800,1e+03]	19	8	66	66	0.8919	0.7765	0.8302	svpop	vg	NA19240	nonrep	call	0.5
DEL	[50,100]	95	94	281	328	0.7493	0.7754	0.7621	svpop	vg	NA19240	nonrep	call	0.5
INS	(100,200]	113	189	398	406	0.678	0.7823	0.7264	svpop	vg	NA19240	nonrep	call	0.5
INS	(1e+03,2.5e+03]	57	28	313	312	0.9179	0.8455	0.8802	svpop	vg	NA19240	nonrep	call	0.5
INS	(2.5e+03,5e+03]	67	7	155	155	0.9568	0.6982	0.8073	svpop	vg	NA19240	nonrep	call	0.5
INS	(200,300]	142	114	195	191	0.6311	0.5736	0.601	svpop	vg	NA19240	nonrep	call	0.5
INS	(300,400]	67	360	716	714	0.6654	0.9142	0.7702	svpop	vg	NA19240	nonrep	call	0.5
INS	(400,600]	22	30	159	158	0.8413	0.8778	0.8592	svpop	vg	NA19240	nonrep	call	0.5
INS	(5e+03,Inf]	82	7	100	100	0.9346	0.5495	0.6921	svpop	vg	NA19240	nonrep	call	0.5
INS	(600,800]	11	12	138	137	0.92	0.9257	0.9228	svpop	vg	NA19240	nonrep	call	0.5
INS	(800,1e+03]	4	9	105	105	0.9211	0.9633	0.9417	svpop	vg	NA19240	nonrep	call	0.5
INS	[50,100]	145	466	527	544	0.5307	0.7896	0.6348	svpop	vg	NA19240	nonrep	call	0.5
INV	(100,200]	1	2	2	2	0.5	0.6667	0.5714	svpop	vg	NA19240	nonrep	call	0.5
INV	(1e+03,2.5e+03]	7	0	2	2	1	0.2222	0.3636	svpop	vg	NA19240	nonrep	call	0.5
INV	(2.5e+03,5e+03]	3	0	1	1	1	0.25	0.4	svpop	vg	NA19240	nonrep	call	0.5
INV	(200,300]	2	0	3	3	1	0.6	0.75	svpop	vg	NA19240	nonrep	call	0.5
INV	(300,400]	3	0	0	0	NA	0	NA	svpop	vg	NA19240	nonrep	call	0.5
INV	(400,600]	5	0	1	1	1	0.1667	0.2858	svpop	vg	NA19240	nonrep	call	0.5
INV	(5e+03,Inf]	7	0	0	0	NA	0	NA	svpop	vg	NA19240	nonrep	call	0.5
INV	(600,800]	1	0	0	0	NA	0	NA	svpop	vg	NA19240	nonrep	call	0.5
INV	(800,1e+03]	1	1	1	1	0.5	0.5	0.5	svpop	vg	NA19240	nonrep	call	0.5
INV	[50,100]	1	2	2	2	0.5	0.6667	0.5714	svpop	vg	NA19240	nonrep	call	0.5
DEL	(100,200]	1337	349	681	708	0.6612	0.3462	0.4545	svpop	vgsub	HG00514	all	call	0.5
DEL	(1e+03,2.5e+03]	171	52	267	260	0.837	0.6032	0.7011	svpop	vgsub	HG00514	all	call	0.5
DEL	(2.5e+03,5e+03]	69	10	162	160	0.9419	0.6987	0.8023	svpop	vgsub	HG00514	all	call	0.5
DEL	(200,300]	416	107	311	323	0.744	0.4371	0.5507	svpop	vgsub	HG00514	all	call	0.5
DEL	(300,400]	278	194	935	946	0.8282	0.7729	0.7996	svpop	vgsub	HG00514	all	call	0.5
DEL	(400,600]	136	50	156	158	0.7573	0.5374	0.6287	svpop	vgsub	HG00514	all	call	0.5
DEL	(5e+03,Inf]	48	17	142	142	0.8931	0.7474	0.8138	svpop	vgsub	HG00514	all	call	0.5
DEL	(600,800]	166	22	90	91	0.8036	0.3541	0.4916	svpop	vgsub	HG00514	all	call	0.5
DEL	(800,1e+03]	61	17	73	72	0.8111	0.5414	0.6494	svpop	vgsub	HG00514	all	call	0.5
DEL	[50,100]	2485	1180	1869	1880	0.613	0.4307	0.5059	svpop	vgsub	HG00514	all	call	0.5
INS	(100,200]	1290	1730	2085	2050	0.5465	0.6138	0.5782	svpop	vgsub	HG00514	all	call	0.5
INS	(1e+03,2.5e+03]	208	186	579	573	0.7569	0.7337	0.7451	svpop	vgsub	HG00514	all	call	0.5
INS	(2.5e+03,5e+03]	118	49	211	208	0.8115	0.638	0.7144	svpop	vgsub	HG00514	all	call	0.5
INS	(200,300]	542	624	889	868	0.5876	0.6156	0.6013	svpop	vgsub	HG00514	all	call	0.5
INS	(300,400]	389	505	1152	1149	0.6952	0.7471	0.7202	svpop	vgsub	HG00514	all	call	0.5
INS	(400,600]	289	255	576	576	0.6931	0.6659	0.6792	svpop	vgsub	HG00514	all	call	0.5
INS	(5e+03,Inf]	75	37	101	100	0.7319	0.5714	0.6418	svpop	vgsub	HG00514	all	call	0.5
INS	(600,800]	151	111	372	375	0.7702	0.7129	0.7404	svpop	vgsub	HG00514	all	call	0.5
INS	(800,1e+03]	88	53	235	233	0.816	0.7259	0.7683	svpop	vgsub	HG00514	all	call	0.5
INS	[50,100]	2273	3695	2481	2479	0.4017	0.5217	0.4539	svpop	vgsub	HG00514	all	call	0.5
INV	(100,200]	2	4	1	2	0.2	0.5	0.2857	svpop	vgsub	HG00514	all	call	0.5
INV	(1e+03,2.5e+03]	5	0	2	2	1	0.2857	0.4444	svpop	vgsub	HG00514	all	call	0.5
INV	(2.5e+03,5e+03]	5	0	0	0	NA	0	NA	svpop	vgsub	HG00514	all	call	0.5
INV	(200,300]	3	1	2	2	0.6667	0.4	0.5	svpop	vgsub	HG00514	all	call	0.5
INV	(300,400]	3	0	0	0	NA	0	NA	svpop	vgsub	HG00514	all	call	0.5
INV	(400,600]	3	1	1	1	0.5	0.25	0.3333	svpop	vgsub	HG00514	all	call	0.5
INV	(5e+03,Inf]	25	0	3	3	1	0.1071	0.1935	svpop	vgsub	HG00514	all	call	0.5
INV	(600,800]	4	0	0	0	NA	0	NA	svpop	vgsub	HG00514	all	call	0.5
INV	(800,1e+03]	2	0	0	0	NA	0	NA	svpop	vgsub	HG00514	all	call	0.5
INV	[50,100]	2	2	2	1	0.5	0.3333	0.4	svpop	vgsub	HG00514	all	call	0.5
DEL	(100,200]	79	38	194	198	0.8362	0.7148	0.7707	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	(1e+03,2.5e+03]	44	20	181	182	0.9005	0.8053	0.8502	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	(2.5e+03,5e+03]	30	4	109	109	0.9646	0.7842	0.8651	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	(200,300]	28	23	161	161	0.875	0.8519	0.8633	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	(300,400]	16	135	799	797	0.8555	0.9803	0.9137	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	(400,600]	11	11	83	84	0.883	0.8842	0.8836	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	(5e+03,Inf]	21	7	111	111	0.9407	0.8409	0.888	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	(600,800]	12	5	56	56	0.918	0.8235	0.8682	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	(800,1e+03]	19	5	50	52	0.9091	0.7324	0.8112	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	[50,100]	165	49	289	298	0.855	0.6436	0.7344	svpop	vgsub	HG00514	nonrep	call	0.5
INS	(100,200]	78	176	413	410	0.7012	0.8402	0.7644	svpop	vgsub	HG00514	nonrep	call	0.5
INS	(1e+03,2.5e+03]	42	22	289	289	0.9293	0.8731	0.9003	svpop	vgsub	HG00514	nonrep	call	0.5
INS	(2.5e+03,5e+03]	46	4	150	149	0.974	0.7641	0.8564	svpop	vgsub	HG00514	nonrep	call	0.5
INS	(200,300]	48	62	211	208	0.7729	0.8125	0.7922	svpop	vgsub	HG00514	nonrep	call	0.5
INS	(300,400]	87	216	697	695	0.7634	0.8887	0.8213	svpop	vgsub	HG00514	nonrep	call	0.5
INS	(400,600]	21	22	141	141	0.865	0.8704	0.8677	svpop	vgsub	HG00514	nonrep	call	0.5
INS	(5e+03,Inf]	43	6	80	80	0.9302	0.6504	0.7655	svpop	vgsub	HG00514	nonrep	call	0.5
INS	(600,800]	10	10	123	122	0.9248	0.9242	0.9245	svpop	vgsub	HG00514	nonrep	call	0.5
INS	(800,1e+03]	6	3	92	92	0.9684	0.9388	0.9534	svpop	vgsub	HG00514	nonrep	call	0.5
INS	[50,100]	130	464	481	486	0.509	0.789	0.6188	svpop	vgsub	HG00514	nonrep	call	0.5
INV	(100,200]	2	2	0	1	0	0.3333	0	svpop	vgsub	HG00514	nonrep	call	0.5
INV	(1e+03,2.5e+03]	3	0	2	2	1	0.4	0.5714	svpop	vgsub	HG00514	nonrep	call	0.5
INV	(2.5e+03,5e+03]	3	0	0	0	NA	0	NA	svpop	vgsub	HG00514	nonrep	call	0.5
INV	(200,300]	2	0	2	2	1	0.5	0.6667	svpop	vgsub	HG00514	nonrep	call	0.5
INV	(300,400]	3	0	0	0	NA	0	NA	svpop	vgsub	HG00514	nonrep	call	0.5
INV	(400,600]	3	1	1	1	0.5	0.25	0.3333	svpop	vgsub	HG00514	nonrep	call	0.5
INV	(5e+03,Inf]	8	0	3	3	1	0.2727	0.4285	svpop	vgsub	HG00514	nonrep	call	0.5
INV	(600,800]	2	0	0	0	NA	0	NA	svpop	vgsub	HG00514	nonrep	call	0.5
INV	(800,1e+03]	2	0	0	0	NA	0	NA	svpop	vgsub	HG00514	nonrep	call	0.5
INV	[50,100]	2	2	2	1	0.5	0.3333	0.4	svpop	vgsub	HG00514	nonrep	call	0.5
DEL	(100,200]	1272	387	612	672	0.6126	0.3457	0.442	svpop	vgsub	HG00733	all	call	0.5
DEL	(1e+03,2.5e+03]	152	59	247	244	0.8072	0.6162	0.6989	svpop	vgsub	HG00733	all	call	0.5
DEL	(2.5e+03,5e+03]	90	16	153	151	0.9053	0.6266	0.7406	svpop	vgsub	HG00733	all	call	0.5
DEL	(200,300]	395	119	308	321	0.7213	0.4483	0.5529	svpop	vgsub	HG00733	all	call	0.5
DEL	(300,400]	219	146	1011	1014	0.8738	0.8224	0.8473	svpop	vgsub	HG00733	all	call	0.5
DEL	(400,600]	158	58	132	132	0.6947	0.4552	0.55	svpop	vgsub	HG00733	all	call	0.5
DEL	(5e+03,Inf]	48	20	151	152	0.883	0.76	0.8169	svpop	vgsub	HG00733	all	call	0.5
DEL	(600,800]	121	26	85	88	0.7658	0.4211	0.5434	svpop	vgsub	HG00733	all	call	0.5
DEL	(800,1e+03]	57	17	76	81	0.8172	0.587	0.6832	svpop	vgsub	HG00733	all	call	0.5
DEL	[50,100]	2334	1472	1538	1597	0.511	0.4063	0.4527	svpop	vgsub	HG00733	all	call	0.5
INS	(100,200]	1009	1784	1947	1908	0.5218	0.6541	0.5805	svpop	vgsub	HG00733	all	call	0.5
INS	(1e+03,2.5e+03]	180	201	537	531	0.7276	0.7468	0.7371	svpop	vgsub	HG00733	all	call	0.5
INS	(2.5e+03,5e+03]	101	51	204	203	0.8	0.6678	0.7279	svpop	vgsub	HG00733	all	call	0.5
INS	(200,300]	493	615	834	815	0.5756	0.6231	0.5984	svpop	vgsub	HG00733	all	call	0.5
INS	(300,400]	340	569	1041	1036	0.6466	0.7529	0.6957	svpop	vgsub	HG00733	all	call	0.5
INS	(400,600]	293	238	562	553	0.7025	0.6537	0.6772	svpop	vgsub	HG00733	all	call	0.5
INS	(5e+03,Inf]	81	35	115	114	0.7667	0.5846	0.6634	svpop	vgsub	HG00733	all	call	0.5
INS	(600,800]	160	119	376	379	0.7596	0.7032	0.7303	svpop	vgsub	HG00733	all	call	0.5
INS	(800,1e+03]	91	62	237	235	0.7926	0.7209	0.7551	svpop	vgsub	HG00733	all	call	0.5
INS	[50,100]	1855	3676	2449	2452	0.3998	0.5693	0.4697	svpop	vgsub	HG00733	all	call	0.5
INV	(100,200]	5	1	0	1	0	0.1667	0	svpop	vgsub	HG00733	all	call	0.5
INV	(1e+03,2.5e+03]	7	0	3	3	1	0.3	0.4615	svpop	vgsub	HG00733	all	call	0.5
INV	(2.5e+03,5e+03]	7	0	0	0	NA	0	NA	svpop	vgsub	HG00733	all	call	0.5
INV	(200,300]	5	2	1	1	0.3333	0.1667	0.2222	svpop	vgsub	HG00733	all	call	0.5
INV	(300,400]	4	0	0	0	NA	0	NA	svpop	vgsub	HG00733	all	call	0.5
INV	(400,600]	3	3	1	1	0.25	0.25	0.25	svpop	vgsub	HG00733	all	call	0.5
INV	(5e+03,Inf]	22	1	1	1	0.5	0.0435	0.08	svpop	vgsub	HG00733	all	call	0.5
INV	(600,800]	2	0	0	0	NA	0	NA	svpop	vgsub	HG00733	all	call	0.5
INV	(800,1e+03]	5	0	0	0	NA	0	NA	svpop	vgsub	HG00733	all	call	0.5
INV	[50,100]	2	3	2	1	0.4	0.3333	0.3636	svpop	vgsub	HG00733	all	call	0.5
DEL	(100,200]	45	51	173	193	0.7723	0.8109	0.7911	svpop	vgsub	HG00733	nonrep	call	0.5
DEL	(1e+03,2.5e+03]	48	21	163	164	0.8859	0.7736	0.826	svpop	vgsub	HG00733	nonrep	call	0.5
DEL	(2.5e+03,5e+03]	37	3	92	92	0.9684	0.7132	0.8214	svpop	vgsub	HG00733	nonrep	call	0.5
DEL	(200,300]	16	25	169	170	0.8711	0.914	0.892	svpop	vgsub	HG00733	nonrep	call	0.5
